datetime,nsw1,qld1,sa1,tas1,vic1
2018-07-01T00:00:00.0,8713.0,5639.0,1849.0,1235.0,5664.0
2018-07-01T00:30:00.0,8449.0,5424.0,1794.0,1211.0,5506.0
2018-07-01T01:00:00.0,8230.0,5282.0,1718.0,1193.0,5310.0
2018-07-01T01:30:00.0,8012.0,5174.0,1621.0,1182.0,5162.0
2018-07-01T02:00:00.0,7754.0,5094.0,1532.0,1166.0,4957.0
2018-07-01T02:30:00.0,7461.0,5048.0,1450.0,1157.0,4775.0
2018-07-01T03:00:00.0,7195.0,4996.0,1393.0,1148.0,4615.0
2018-07-01T03:30:00.0,6993.0,4998.0,1353.0,1145.0,4524.0
2018-07-01T04:00:00.0,6891.0,4989.0,1325.0,1145.0,4451.0
2018-07-01T04:30:00.0,6871.0,4986.0,1290.0,1151.0,4403.0
2018-07-01T05:00:00.0,6877.0,4988.0,1292.0,1151.0,4395.0
2018-07-01T05:30:00.0,6989.0,5053.0,1284.0,1160.0,4439.0
2018-07-01T06:00:00.0,7158.0,5107.0,1295.0,1171.0,4510.0
2018-07-01T06:30:00.0,7424.0,5218.0,1299.0,1177.0,4623.0
2018-07-01T07:00:00.0,7793.0,5336.0,1339.0,1208.0,4782.0
2018-07-01T07:30:00.0,8159.0,5493.0,1376.0,1253.0,4856.0
2018-07-01T08:00:00.0,8679.0,5665.0,1432.0,1309.0,5111.0
2018-07-01T08:30:00.0,9093.0,5857.0,1500.0,1359.0,5331.0
2018-07-01T09:00:00.0,9289.0,5966.0,1573.0,1388.0,5471.0
2018-07-01T09:30:00.0,9375.0,6045.0,1605.0,1391.0,5496.0
2018-07-01T10:00:00.0,9222.0,6014.0,1585.0,1377.0,5441.0
2018-07-01T10:30:00.0,8987.0,5969.0,1483.0,1354.0,5336.0
2018-07-01T11:00:00.0,8709.0,5916.0,1419.0,1321.0,5145.0
2018-07-01T11:30:00.0,8367.0,5826.0,1325.0,1291.0,4998.0
2018-07-01T12:00:00.0,8144.0,5830.0,1261.0,1256.0,4880.0
2018-07-01T12:30:00.0,8011.0,5839.0,1197.0,1235.0,4804.0
2018-07-01T13:00:00.0,7869.0,5760.0,1145.0,1216.0,4765.0
2018-07-01T13:30:00.0,7751.0,5780.0,1125.0,1211.0,4789.0
2018-07-01T14:00:00.0,7791.0,5799.0,1181.0,1209.0,4825.0
2018-07-01T14:30:00.0,7830.0,5845.0,1204.0,1210.0,4824.0
2018-07-01T15:00:00.0,7967.0,5886.0,1150.0,1213.0,4847.0
2018-07-01T15:30:00.0,8181.0,5976.0,1198.0,1215.0,4946.0
2018-07-01T16:00:00.0,8518.0,6104.0,1270.0,1251.0,5104.0
2018-07-01T16:30:00.0,8987.0,6253.0,1399.0,1294.0,5342.0
2018-07-01T17:00:00.0,9534.0,6529.0,1515.0,1364.0,5695.0
2018-07-01T17:30:00.0,10212.0,6812.0,1718.0,1457.0,6067.0
2018-07-01T18:00:00.0,10738.0,7010.0,1929.0,1511.0,6476.0
2018-07-01T18:30:00.0,10870.0,7010.0,2146.0,1517.0,6595.0
2018-07-01T19:00:00.0,10815.0,6977.0,2180.0,1512.0,6589.0
2018-07-01T19:30:00.0,10604.0,6844.0,2156.0,1498.0,6516.0
2018-07-01T20:00:00.0,10377.0,6731.0,2127.0,1462.0,6413.0
2018-07-01T20:30:00.0,10188.0,6655.0,2093.0,1457.0,6295.0
2018-07-01T21:00:00.0,9957.0,6493.0,2054.0,1432.0,6187.0
2018-07-01T21:30:00.0,9621.0,6335.0,2018.0,1379.0,6066.0
2018-07-01T22:00:00.0,9337.0,6214.0,1949.0,1325.0,5890.0
2018-07-01T22:30:00.0,9076.0,6135.0,1838.0,1285.0,5668.0
2018-07-01T23:00:00.0,8736.0,6069.0,1734.0,1237.0,5516.0
2018-07-01T23:30:00.0,8544.0,5868.0,1638.0,1197.0,5586.0
2018-07-02T00:00:00.0,8294.0,5611.0,1782.0,1172.0,5583.0
2018-07-02T00:30:00.0,8022.0,5387.0,1720.0,1143.0,5400.0
2018-07-02T01:00:00.0,7802.0,5240.0,1646.0,1123.0,5259.0
2018-07-02T01:30:00.0,7627.0,5154.0,1574.0,1118.0,5150.0
2018-07-02T02:00:00.0,7456.0,5076.0,1495.0,1106.0,4972.0
2018-07-02T02:30:00.0,7175.0,5020.0,1437.0,1102.0,4790.0
2018-07-02T03:00:00.0,6993.0,5007.0,1391.0,1102.0,4678.0
2018-07-02T03:30:00.0,6873.0,5009.0,1353.0,1100.0,4623.0
2018-07-02T04:00:00.0,6796.0,5011.0,1322.0,1105.0,4585.0
2018-07-02T04:30:00.0,6869.0,5071.0,1298.0,1124.0,4612.0
2018-07-02T05:00:00.0,6995.0,5179.0,1299.0,1165.0,4688.0
2018-07-02T05:30:00.0,7325.0,5365.0,1319.0,1205.0,4881.0
2018-07-02T06:00:00.0,7750.0,5581.0,1359.0,1248.0,5164.0
2018-07-02T06:30:00.0,8536.0,5892.0,1432.0,1327.0,5636.0
2018-07-02T07:00:00.0,9320.0,6230.0,1574.0,1428.0,6120.0
2018-07-02T07:30:00.0,9849.0,6524.0,1730.0,1545.0,6469.0
2018-07-02T08:00:00.0,10258.0,6640.0,1893.0,1609.0,6812.0
2018-07-02T08:30:00.0,10391.0,6633.0,2023.0,1631.0,7066.0
2018-07-02T09:00:00.0,10237.0,6510.0,2028.0,1606.0,7128.0
2018-07-02T09:30:00.0,10114.0,6357.0,1943.0,1569.0,7107.0
2018-07-02T10:00:00.0,9905.0,6189.0,1844.0,1522.0,6864.0
2018-07-02T10:30:00.0,9745.0,6104.0,1719.0,1491.0,6661.0
2018-07-02T11:00:00.0,9533.0,6059.0,1584.0,1461.0,6443.0
2018-07-02T11:30:00.0,9335.0,6013.0,1502.0,1426.0,6213.0
2018-07-02T12:00:00.0,9175.0,5975.0,1444.0,1400.0,6009.0
2018-07-02T12:30:00.0,9094.0,5976.0,1452.0,1354.0,5888.0
2018-07-02T13:00:00.0,8965.0,6040.0,1433.0,1316.0,5818.0
2018-07-02T13:30:00.0,8909.0,6057.0,1444.0,1293.0,5814.0
2018-07-02T14:00:00.0,8914.0,6122.0,1477.0,1303.0,5770.0
2018-07-02T14:30:00.0,8951.0,6200.0,1405.0,1314.0,5781.0
2018-07-02T15:00:00.0,9005.0,6241.0,1433.0,1306.0,5758.0
2018-07-02T15:30:00.0,9078.0,6334.0,1507.0,1317.0,5856.0
2018-07-02T16:00:00.0,9376.0,6518.0,1569.0,1342.0,6021.0
2018-07-02T16:30:00.0,9723.0,6656.0,1696.0,1371.0,6189.0
2018-07-02T17:00:00.0,10251.0,6908.0,1781.0,1432.0,6496.0
2018-07-02T17:30:00.0,10894.0,7199.0,1929.0,1512.0,6885.0
2018-07-02T18:00:00.0,11473.0,7373.0,2091.0,1554.0,7265.0
2018-07-02T18:30:00.0,11485.0,7341.0,2234.0,1549.0,7308.0
2018-07-02T19:00:00.0,11399.0,7314.0,2274.0,1540.0,7277.0
2018-07-02T19:30:00.0,11180.0,7168.0,2266.0,1515.0,7122.0
2018-07-02T20:00:00.0,10936.0,7073.0,2234.0,1490.0,6992.0
2018-07-02T20:30:00.0,10653.0,6969.0,2197.0,1464.0,6847.0
2018-07-02T21:00:00.0,10394.0,6794.0,2137.0,1430.0,6702.0
2018-07-02T21:30:00.0,10057.0,6589.0,2084.0,1385.0,6465.0
2018-07-02T22:00:00.0,9703.0,6433.0,2000.0,1338.0,6274.0
2018-07-02T22:30:00.0,9449.0,6311.0,1895.0,1288.0,6013.0
2018-07-02T23:00:00.0,9114.0,6236.0,1780.0,1235.0,5793.0
2018-07-02T23:30:00.0,8914.0,6033.0,1687.0,1193.0,5840.0
2018-07-03T00:00:00.0,8770.0,5806.0,1814.0,1158.0,5819.0
2018-07-03T00:30:00.0,8567.0,5555.0,1764.0,1133.0,5637.0
2018-07-03T01:00:00.0,8380.0,5414.0,1694.0,1126.0,5451.0
2018-07-03T01:30:00.0,8147.0,5302.0,1630.0,1103.0,5286.0
2018-07-03T02:00:00.0,7931.0,5232.0,1525.0,1087.0,5098.0
2018-07-03T02:30:00.0,7581.0,5165.0,1466.0,1082.0,4910.0
2018-07-03T03:00:00.0,7353.0,5116.0,1436.0,1079.0,4801.0
2018-07-03T03:30:00.0,7125.0,5109.0,1391.0,1068.0,4707.0
2018-07-03T04:00:00.0,7050.0,5124.0,1359.0,1066.0,4622.0
2018-07-03T04:30:00.0,7008.0,5167.0,1342.0,1073.0,4668.0
2018-07-03T05:00:00.0,7140.0,5267.0,1344.0,1078.0,4694.0
2018-07-03T05:30:00.0,7477.0,5486.0,1361.0,1109.0,4872.0
2018-07-03T06:00:00.0,7958.0,5699.0,1406.0,1150.0,5117.0
2018-07-03T06:30:00.0,8734.0,6033.0,1461.0,1244.0,5571.0
2018-07-03T07:00:00.0,9550.0,6327.0,1590.0,1333.0,6076.0
2018-07-03T07:30:00.0,10060.0,6575.0,1741.0,1421.0,6382.0
2018-07-03T08:00:00.0,10434.0,6558.0,1876.0,1479.0,6627.0
2018-07-03T08:30:00.0,10438.0,6448.0,1950.0,1495.0,6840.0
2018-07-03T09:00:00.0,10105.0,6276.0,1955.0,1478.0,6941.0
2018-07-03T09:30:00.0,9881.0,6111.0,1880.0,1463.0,6900.0
2018-07-03T10:00:00.0,9621.0,5936.0,1815.0,1440.0,6710.0
2018-07-03T10:30:00.0,9471.0,5759.0,1652.0,1425.0,6573.0
2018-07-03T11:00:00.0,9298.0,5642.0,1595.0,1391.0,6489.0
