BuildingType,AreaFloor,MaxOutflow,MaxLevel,TemperatureSink,TemperatureSource
bu1,246705003.1,12822.14747,38466.44,50,10
bu2,170430274.4,7428.842327,22286.52,50,10
bu3,431156503.7,18819.12665,56457.37996,50,10
bu4,321505424.4,10941.89042,32825.67126,50,10
bu5,445548878.3,12999.86126,38999.58378,50,10
bu6,229580374.1,5839.524947,17518.57484,50,10
bu7,528310626.2,12982.34673,38947.04019,50,10
bu8,239175323.5,5242.302919,15726.90876,50,10
bu9,305541810.6,6139.015127,18417.04538,50,10
bu10,180986042.1,3030.028142,9090.084427,50,10
bu11,375486545.5,2960.237164,8880.711491,50,10
bu12,232161299.8,1536.437361,4609.312082,50,10
