BuildingType,HeatingType,HeatMaxPower,HeatShare,StaticEfficiency
bu1,hp_as,6235.212402,0.5,0.9957
bu1,hp_gs,3526.988833,0.5,0.9957
bu2,hp_as,3612.531359,0.5,0.9957
bu2,hp_gs,2043.452082,0.5,0.9957
bu3,hp_as,9151.450816,0.5,0.9957
bu3,hp_gs,5176.578239,0.5,0.9957
bu4,hp_as,5320.872422,0.5,0.9957
bu4,hp_gs,3009.78642,0.5,0.9957
bu5,hp_as,6321.631877,0.5,0.9957
bu5,hp_gs,3575.872577,0.5,0.9957
bu6,hp_as,2839.670848,0.5,0.9957
bu6,hp_gs,1606.278459,0.5,0.9957
bu7,hp_as,6313.114831,0.5,0.9957
bu7,hp_gs,3571.054854,0.5,0.9957
bu8,hp_as,2549.250994,0.5,0.9957
bu8,hp_gs,1442.000562,0.5,0.9957
bu9,hp_as,2985.3083,0.5,0.9957
bu9,hp_gs,1688.65924,0.5,0.9957
bu10,hp_as,1473.455917,0.5,0.9957
bu10,hp_gs,833.4700136,0.5,0.9957
bu11,hp_as,1439.517641,0.5,0.9957
bu11,hp_gs,814.2726051,0.5,0.9957
bu12,hp_as,747.1457735,0.5,0.9957
bu12,hp_gs,422.6279123,0.5,0.9957
